HOSPITAL,LATITUDE,LONGITUDE
FORTIS ,28.456,77.072
AHEMADABAD CIVIL HOSPITAL,23.053,72.603
AKRITI HOSPITAL,16.511,80.633
VOC PORT TRUST,8.749,78.168
VR HOSPITAL,22.554,72.967
DELHI HEART HOSPITAL,28.653,77.308
APPLE HOSPITAL,21.1827,72.831
